msd,ls,pressure
49290.62499999938,162.19159404350498,695.3595121014537
49290.666666666046,162.2144127404475,691.0366936105278
49290.70833333271,162.23723302634352,689.6617970134026
49290.749999999374,162.26005509897067,696.0872769784874
49290.79166666604,162.28287891168358,720.0712949630713
49290.8333333327,162.30570441503875,740.1908733815732
49290.87499999937,162.32853156348585,739.7236721303261
49290.91666666603,162.351360406767,741.8952610770624
49290.958333332695,162.37419093944473,755.0313384298232
49290.99999999936,162.39702316636237,761.1571899148926
49291.041666666024,162.4198570862025,761.5205166176689
49291.08333333269,162.4426926993089,764.4025294844472
49291.12499999935,162.4655300045168,767.4073704185402
49291.16666666602,162.48836890797187,769.9488061642224
49291.20833333268,162.51120968851762,769.3790978547796
49291.249999999345,162.53405208324358,769.6402721623323
49291.29166666601,162.55689616423652,780.7279227828363
49291.333333332674,162.57974193981937,787.6044751652496
49291.37499999934,162.6025894060358,772.8701018789264
49291.416666666,162.62543847579607,751.824088871211
49291.45833333267,162.64828933397217,737.876219044442
49291.49999999933,162.67114193520308,726.021965652611
49291.541666665995,162.69399623071104,715.422479878021
49291.58333333266,162.71685217406466,705.0302934800399
49291.62499999932,162.73970981295514,695.0084132343936
49291.66666666599,162.76256914559036,690.8518435834876
49291.70833333265,162.78543017535196,689.6191396162999
49291.749999999316,162.80829290086692,696.0448564050092
49291.79166666598,162.8311573214452,720.2350766830385
49291.833333332645,162.85402343857788,740.9597152161211
49291.87499999931,162.87689125203627,740.689114358863
49291.91666666597,162.89976066679452,742.5476838576217
49291.95833333264,162.9226318734854,755.7033147541291
49291.9999999993,162.94550482522794,762.0062472219109
49292.041666665966,162.96837937735074,762.2331203127139
49292.08333333263,162.99125576209585,765.1551027958144
49292.124999999294,163.01413376660946,768.2753947889821
49292.16666666596,163.03701345782494,770.5312557740277
49292.20833333262,163.05989484813327,769.7393521172327
49292.24999999929,163.08277793537852,770.3023762369921
49292.29166666595,163.105662625128,781.6681258766235
49292.333333332615,163.12854910884548,788.3007860941842
49292.37499999928,163.1514373396219,773.3058354752976
